type,name,N cells,average_area,average_intensity,average_equaivalent_diameter
Cryo,L-04-2 Cryo Exp 20 ms Gain 1 Satur 100,2458.0,882.6049633848658,61.47353681690832,30.79565514488426
FFPE,L-04-2 FFPE IAV Exp 15 ms Gain 1 Satur 0,2528.0,839.2282436708861,66.45644553068617,30.294311507984702
Cryo,L-07 2 Cryo Exp 15 ms Gain 1 Satur 100 ,2377.0,578.2898611695414,54.35966109952535,24.925178976706967
Cryo,L-07 Cryo Exp 15 ms Gain 1 Satur 0,2744.0,702.9599125364432,56.27797208429224,28.26467167661251
FFPE,L-07 FFPE Exp 16 ms Gain 1 Satur 100,2710.0,498.9162361623616,64.76583621604885,23.587707428926656
FFPE,L-08 FFPE Exp 12 ms Gain 1 Satur 100,3705.0,361.821322537112,91.15910655576651,20.700000550034076
FFPE,L-08 FFPE Exp 15 ms Gain 1 Satur 0,2909.0,541.9078721210038,51.76541552343288,24.449186442882173
Cryo,L04-2 Cryo Exp 15 ms Gain 1 Satur 100,3023.0,675.8461792920939,76.3509427579804,27.022278333161644
Cryo,L04-2 Cryo Exp 20 ms Gain 1 Satur 0,1510.0,1647.3185430463577,37.39405653061288,41.30409995632693
FFPE,L04-2 FFPE Exp 15 ms Gain 1 Satur 100,3142.0,604.0251432208785,95.0739548537215,26.049028186562914
FFPE,L04-2 FFPE Exp 16 ms Gain 1 Satur 100,2885.0,577.2807625649913,78.58312147322245,25.5888224591242
Cryo,L07 2 Cryo Exp 15 ms Gain 1 Satur 0,2622.0,641.9061784897025,55.15686124783168,26.503990341303037
Cryo,L07 Cryo Exp 15 ms Gain 1 Satur 100,2439.0,631.9323493234932,54.111993129198495,26.647471884093527
FFPE,L07 FFPE 2 Exp 16 ms Gain 1 Satur 100,2932.0,439.58526603001366,76.33302584495368,22.324231808096243
FFPE,L07 FFPE Exp 16 ms Gain 1 Satur 0,2561.0,570.7356501366654,56.4491529288084,25.452996946627238
Cryo,L08 Cryo 2 Exp 15 ms Gain 1 Satur 100,3044.0,675.3334428383706,77.71430899262265,27.281954819494846
Cryo,L08 Cryo Exp 15 ms Gain 1 Satur 0,2304.0,1048.5091145833333,45.86345578796378,33.06613644356369
Cryo,L08 Cryo Exp 15 ms Gain 1 Satur 100,2598.0,798.4214780600462,64.14400422310668,29.06929180624435
FFPE,L08 FFPE Exp 15 ms Gain 1 Satur 100,3901.0,356.3563188925916,68.71758171882387,20.25314285094484
Cryo,L10-1 Cryo Exp 16 ms Gain 1 Satur 100 WB,2692.0,684.520059435364,75.09228091076947,27.022842783623233
Cryo,L10-1 Cryo Exp 16 ms Gain 1 Satur 100,2972.0,704.7153432032302,93.54228840284748,27.205961546350764
FFPE,L10-1 FFPE 2 Exp 14 ms Gain 1 Satur 100,3585.0,501.59358437935845,85.07399438921578,23.946425985048755
FFPE,L10-1 FFPE Exp 14 ms Gain 1 Satur 100,3212.0,629.1005603985056,94.31529681380859,26.639249352507722
Cryo,L23-1 Cryo 2 Exp 15 ms Gain 1 Satur 100,1955.0,1111.9411764705883,68.5331724467065,34.2044180649969
Cryo,L23-1 Cryo Exp 15 ms Gain 1 Satur 100,2389.0,897.9472582670574,65.73953656801642,31.342923074486038
FFPE,L23-1 FFPE 1 Exp 15 ms Gain 1 Satur 100,3469.0,449.1006053617757,78.99441173238766,22.871741853608366
FFPE,L23-1 FFPE Exp 15 ms Gain 1 Satur 100,3767.0,394.33820015927796,86.6484703168426,21.513744763366162
Cryo,L24 Cryo 2 Exp 16 ms Gain 1 Satur 100,2658.0,791.6753197893153,87.00872857602775,29.9429257006552
Cryo,L24 Cryo Exp 18 ms Gain 1 Satur 100,2596.0,809.7261171032358,85.13233393861749,30.123920492339973
FFPE,L24 FFPE 2 Exp 16 ms Gain 1 Satur 100,3939.0,434.7207413048997,86.78130899378266,22.537979545779944
FFPE,L24 FFPE Exp 13 ms Gain 1 Satur 100,4067.0,388.9825424145562,73.8345432332339,21.360192340546
Cryo,L27-1 Cryo 2 Exp 23  ms Gain 1 Satur 100,2459.0,816.308662057747,60.735591424909316,29.39856122079636
Cryo,L27-1 Cryo Exp 23 ms Gain 1 Satur 100,2784.0,804.6487068965517,85.94081631222868,29.781020645737513
FFPE,L27-1 FFPE Exp 15 ms Gain 1 Satur 100,4273.0,484.2934706295343,94.68535299357434,24.09919419405482
FFPE,L27-1 FFPE Exp 16 ms Gain 1 Satur 100,3975.0,504.40603773584905,89.6111183376778,24.719171443700706
