Image,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Area µm^2,Perimeter µm
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,03ea6fb2-5ec1-481a-9fa5-64b785ea4c7b,PathAnnotationObject,,Image,Polygon,6380.5,73658.7,16805732.9,16171.7
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,c8b1ed24-ef9c-4790-8912-7581e8188d4f,PathAnnotationObject,,Image,Polygon,2576.6,78080.4,23247930.6,19309.5
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,b81dce39-11c0-4cef-9bb2-6f23f3169a83,PathAnnotationObject,,Image,Polygon,12076.1,78996.2,20341939.2,22019.9
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,92640825-39af-406b-b419-297474c9d4ee,PathAnnotationObject,,Image,Polygon,69511.9,78856.8,23983181.4,23078.4
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,3ae1170a-4b6e-4edd-83a5-f3ceb04cc3b3,PathAnnotationObject,,Image,Polygon,86895.2,78655.6,31720820.9,26847.3
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,ebff2914-c6b4-4ac6-99d3-38ba7f5967ea,PathAnnotationObject,,Image,Polygon,32360.3,66638.4,23458002.2,20314.8
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,d5f58acb-6b74-41c0-8642-5483fcf65452,PathAnnotationObject,,Image,Polygon,33108.3,59390.9,20744576.6,17714
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,03197125-a298-491e-a604-fb29ec7413ea,PathAnnotationObject,,Image,Polygon,1238.3,55475.6,19046497.3,20057.9
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,ab2615a3-61a2-483a-b48d-fb66f44e8802,PathAnnotationObject,,Image,Polygon,4157.5,45819.5,25488695,20004.8
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,ea9a9394-bbcb-4644-b9da-50847c7d786f,PathAnnotationObject,,Image,Polygon,61072.9,38429.7,33243840.5,23070.6
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,ca97f31c-461e-4e57-b4a1-709f62c1e968,PathAnnotationObject,,Image,Polygon,45494.1,44739.1,44325120.6,26174
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,56922b90-f000-443d-985e-6db463e0d946,PathAnnotationObject,,Image,Polygon,37054.3,41674.5,43204738.4,25516.4
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,ce935910-ef59-49e1-a872-06a17e41cd43,PathAnnotationObject,,Image,Polygon,63271.3,6236.4,68133242.3,34513.5
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,88937909-c6d2-40c7-b622-3d9ea53c9e2a,PathAnnotationObject,,Image,Polygon,52972.6,72428,79372076.2,36876.2
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,ad265727-5a05-4d27-af05-0aaa58ebb176,PathAnnotationObject,,Image,Polygon,23928.1,24515.5,50294657,28608.8
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,95a3d02b-a787-44e5-8621-1d086ab6a93f,PathAnnotationObject,,Image,Polygon,70101.3,14936.3,54723667.9,30616.2
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,d371506d-9a7d-49e4-bcdd-701056ee37a3,PathAnnotationObject,,Image,Polygon,79156.6,48922.9,38793233.5,23709.4
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,000521f9-4c74-4d6c-8df8-7cdfdc6774f1,PathAnnotationObject,,Image,Polygon,85023.7,73181,91976375.9,41442.2
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,d8b2b503-e353-4bbe-ae12-71ff75357613,PathAnnotationObject,,Image,Polygon,77954.7,30661.1,52833022.9,29867.7
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,38e4efb3-a78e-4e35-b4f0-564ac5dedd42,PathAnnotationObject,,Image,Polygon,37715.3,6945.9,84606361.8,37825.1
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,67b2d8a5-619a-41c9-ae2a-5de4397e1315,PathAnnotationObject,,Image,Polygon,7476.5,61689,128984000.3,46670.4
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,c66bb4f0-a197-4d10-a359-4ab1a3147a57,PathAnnotationObject,,Image,Polygon,25911.9,7984.9,70479042.5,35507.7
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,7569e0c8-42bb-4dec-a34f-b3918454e678,PathAnnotationObject,,Image,Polygon,48057.9,11351.9,29970223.7,21645.7
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,5910e8e7-22dc-461a-a488-c3da9b5808dc,PathAnnotationObject,,Image,Polygon,60279.4,51939.3,99714015.4,41378
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,1e976ea3-77ad-4868-9d68-7559af5ece7a,PathAnnotationObject,,Image,Polygon,8990.9,7018.3,74645463.8,34770.3
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,65da7a28-9a12-4190-ae26-87975b56d1fe,PathAnnotationObject,,Image,Polygon,77641.3,8362.7,39038317.1,24885.3
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,87cf1bea-c5a3-4936-9f48-ff75fd52d167,PathAnnotationObject,,Image,Polygon,64086.6,23862.1,52167796,31519.6
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,db103650-fb20-423a-81a1-ff1cfb604611,PathAnnotationObject,,Image,Polygon,85584.5,22835.8,67397991.5,32952.3
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,db100a2a-91da-423a-946e-ee476c7af666,PathAnnotationObject,,Image,Polygon,11506.3,42669.5,68868493.1,33337.6
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,ba4f866c-bfef-4a1f-bc5b-f98dc25263ba,PathAnnotationObject,,Image,Polygon,68727.7,65038.5,75450738.5,34872.1
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,3b19dd91-e32f-4cee-8428-1fac17e25a2b,PathAnnotationObject,,Image,Polygon,14650,23616.1,48561565.8,27970
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,508dbb0d-9a0f-414a-b509-dcc05edf97b0,PathAnnotationObject,,Image,Polygon,59605.7,60858.4,57489611.4,29039.5
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,595cba0d-1682-457f-b57d-f69bbfc7d0d1,PathAnnotationObject,,Image,Polygon,79614.4,15783.9,68728445.3,33262.4
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,eb3c4432-b9c6-46cf-b000-08b72d0983b1,PathAnnotationObject,,Image,Polygon,18996.6,13003.1,50592258.5,27606.7
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,bbd1c7fe-eb14-48e5-931b-70858484cf51,PathAnnotationObject,,Image,Polygon,51702.1,56242.4,57629659.2,29767.4
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,5becdef1-04f8-439e-a9fd-b3ccb6ad6d1d,PathAnnotationObject,,Image,Polygon,43016.1,78606.7,24998527.7,22704.2
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,a0cb7b8c-9134-4fce-aee9-1e7092c0a48e,PathAnnotationObject,,Image,Polygon,62337,71843.8,51362521.3,30215.3
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,5d4dc1ba-ae3f-4b9c-a5f4-1766c9d3a9aa,PathAnnotationObject,,Image,Polygon,69725.7,44178.1,95162462.8,37764.1
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,44e3c76d-ee0b-43ad-8ea2-eaa52349608a,PathAnnotationObject,,Image,Polygon,30537.7,75987.1,92431531.2,38929
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,a5968d6b-cd60-42cd-ac43-626de6eb5756,PathAnnotationObject,,Image,Polygon,73655.8,58038.2,70969209.7,33156
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,32b94a85-eaa9-4f73-8513-7cf62e396b66,PathAnnotationObject,,Image,Polygon,13201.7,72679.7,47563725.4,26529.5
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,dd694d57-89c4-4b97-8b14-6cad5aac93ee,PathAnnotationObject,,Image,Polygon,44180,69705.1,89140408.5,37469.7
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,7d9592b1-b2e6-44b8-84d6-b92a5baf312a,PathAnnotationObject,,Image,Polygon,55491.5,9815,69603743.9,35133.5
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,88a9410f-982d-4405-be6c-0afcdaaaf878,PathAnnotationObject,,Image,Polygon,71609.7,24311.9,54583620.1,30525.4
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,e8ff7147-de86-405b-9657-40ce9ac6e9d0,PathAnnotationObject,,Image,Polygon,43081,16082.4,30530414.8,22469.4
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,500a1b1f-6d80-4928-82bd-306c7afd4cab,PathAnnotationObject,,Image,Polygon,32322.1,18073.7,87354799.3,35583
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,13ca0a57-b0d8-4afd-ab8f-b17cc01ed43f,PathAnnotationObject,,Image,Polygon,33294.6,28439.9,81892936.1,38153.9
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,35c00976-81a2-4f28-b3d5-d2c2340031b7,PathAnnotationObject,,Image,Polygon,39228.2,25494.9,34451752.5,25259.6
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,4c003ce6-be07-4c3d-a57c-2e0f5553bacd,PathAnnotationObject,,Image,Polygon,51064.1,19695.8,77551455.1,33556.8
L04-2 Cryo Exp 15 ms Gain 1 Satur 100.tif,87c09e2e-e8cd-4dc9-969a-d4c2cc014bc3,PathAnnotationObject,,Image,Polygon,29665.5,35491,46425837.2,30461.2
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,7c41037d-968d-4329-8845-46466ea0e382,PathAnnotationObject,,Image,Polygon,15025.4,28197.6,58890089.2,29158
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,f5d8e1f5-3ee7-4bdc-b3bf-d39d9b8efd64,PathAnnotationObject,,Image,Polygon,24553.1,27750.2,52628553.3,28002.4
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,0302028e-72e5-45fa-9d9b-0bda540ce7d7,PathAnnotationObject,,Image,Polygon,49918.4,7761.3,67783122.9,31774.1
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,f93dfd79-945a-4d62-ac3e-a318a0addddf,PathAnnotationObject,,Image,Polygon,57940.9,31384.5,75100619.1,33321.7
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,ae76a240-d419-46c4-ad17-fe8f62fc3c62,PathAnnotationObject,,Image,Polygon,31609.2,32497.5,34521776.4,22226.7
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,d60683ee-bf7a-49ef-a973-419f6c90aa64,PathAnnotationObject,,Image,Polygon,29917.1,46425.5,43070642.6,25576.8
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,cdff400f-0ce0-4673-81da-29e585e5babf,PathAnnotationObject,,Image,Polygon,2533.7,56455.7,46968522.4,28570.8
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,36350d92-5c19-43ce-8560-9078de5df0e3,PathAnnotationObject,,Image,Polygon,19818.2,61982.2,75614244.2,34673
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,f2e47cc7-cd03-46bf-90b3-d147e4ca6948,PathAnnotationObject,,Image,Polygon,51252,57079,30915546.2,26654.6
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,67695852-8a43-4eaf-a2b9-d2917421a8a8,PathAnnotationObject,,Image,Polygon,56990,52471.7,57314551.7,29090.3
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,f79a8245-8ac7-41b2-9943-6700b16178e0,PathAnnotationObject,,Image,Polygon,61575.2,78258.9,71914532.2,41280.8
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,adb99a41-afbc-413a-8df6-611a58828fde,PathAnnotationObject,,Image,Polygon,101997,25058.1,46250777.5,26324.4
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,555eeeac-78db-4ae6-a43e-a83515b14610,PathAnnotationObject,,Image,Polygon,113777.6,18371.9,54391054.4,28240.2
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,acb29efc-9f85-48b2-8e25-65c5cd28572b,PathAnnotationObject,,Image,Polygon,115792.4,88978.1,33401394.2,28579
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,784b0f08-72ac-4591-98ca-67df9fc8b4ac,PathAnnotationObject,,Image,Polygon,62399.8,69067,57349563.7,35459.1
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,42dc0ee8-5ae3-4949-8780-477f3bbb875f,PathAnnotationObject,,Image,Polygon,110428,33841.8,88982854.7,35239.8
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,0318bc2b-210f-41d5-9e2d-94f608ec8a87,PathAnnotationObject,,Image,Polygon,28233,70202.6,63021498.5,35405.9
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,e30806dc-0815-4c90-ac8c-076a859621e0,PathAnnotationObject,,Image,Polygon,68036.2,58045.7,82908282.5,41666
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,59df30ff-7d00-49bb-ab01-de20de15ecec,PathAnnotationObject,,Image,Polygon,109111.4,68798.7,106611368.3,42383.6
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,42eed377-d9c2-406a-bd57-4387965a9046,PathAnnotationObject,,Image,Polygon,80722.8,84593,26539053.3,22757.3
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,1eb9c48e-34ef-465a-aedd-b4fc76466f26,PathAnnotationObject,,Image,Polygon,114886,62095.7,53760839.4,30374.2
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,8721c52c-075d-4876-95ba-bcd7275fd09f,PathAnnotationObject,,Image,Polygon,110033.1,81609,54198488.7,32812.9
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,84532d08-3652-45e2-a600-f06d9e403c44,PathAnnotationObject,,Image,Polygon,64776.3,22333.4,88201038,35174.9
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,025cdce0-bc20-43a7-91b5-3086e8f8affe,PathAnnotationObject,,Image,Polygon,44921.2,26772.6,79984785.2,33574.3
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,42f69be5-fbbe-42f1-9a22-13eb10a1d067,PathAnnotationObject,,Image,Polygon,68615.6,49696.6,53988417.1,32230.5
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,ea83b8ab-5400-46b8-be44-26f7261ac87d,PathAnnotationObject,,Image,Polygon,55785.4,15017.2,137316842.9,46752.9
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,6b998201-c13d-41a7-a663-e54311af351a,PathAnnotationObject,,Image,Polygon,72314.4,37038.2,114967668.3,42902.6
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,522b4029-9339-465c-b904-c5276c380276,PathAnnotationObject,,Image,Polygon,7872.8,49684.1,84238736.4,35175.8
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,43254e53-2bd9-471b-9fa9-6333137231d8,PathAnnotationObject,,Image,Polygon,61594.2,42913.6,63091522.4,35715.9
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,a4359c10-ed8c-43d4-b865-2e60afa0edbb,PathAnnotationObject,,Image,Polygon,50825.5,74201.3,72667289,31595.3
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,6946cdaa-653f-485f-9032-c0ec4e255b69,PathAnnotationObject,,Image,Polygon,89889.2,81675,43904977.3,30733.6
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,4866095e-d881-4dc5-960c-38059d45650c,PathAnnotationObject,,Image,Polygon,86385.2,74867.3,71599424.7,38207.1
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,b87e5a74-2613-486c-ab08-494055194c03,PathAnnotationObject,,Image,Polygon,108655.6,88617.2,22407643.9,20111.1
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,ccf8c824-4399-4b1b-9c4c-b848b40df231,PathAnnotationObject,,Image,Polygon,40393.9,83995.7,70058899.2,35871
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,39043c7d-d612-4737-888b-da41deee1ae8,PathAnnotationObject,,Image,Polygon,32373.5,57854.2,83573509.4,39484.8
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,ad32641a-f148-459c-acb1-860476c293f2,PathAnnotationObject,,Image,Polygon,104328.9,93542.3,49121756.9,32786.3
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,ba9ad796-e528-4d09-9cc3-9e5542969f08,PathAnnotationObject,,Image,Polygon,5972.1,33275.7,88142568.1,35330.6
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,4ab9b300-892f-446e-b3e4-cdc79b859027,PathAnnotationObject,,Image,Polygon,48488.3,86300.1,64176892.7,35560.9
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,f8706a56-8b01-444d-827a-43691d7b5655,PathAnnotationObject,,Image,Polygon,57907.7,63154.1,41734236.8,28835.8
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,a9e06fb3-e5ec-4acf-bae6-d42b436f245d,PathAnnotationObject,,Image,Polygon,94208.4,44813,174692092.7,50770.9
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,af5c3e07-845d-4744-9cc9-b032ff9f19dc,PathAnnotationObject,,Image,Polygon,69436.2,84966,86899644.1,41810
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,6f3cee4a-4be4-4295-a10d-23cc27687663,PathAnnotationObject,,Image,Polygon,92139.7,91493.6,107679232.6,39849.1
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,60749cb4-7641-4ba2-b188-9f69d0728b68,PathAnnotationObject,,Image,Polygon,58231.5,89714.2,53638297.6,32540.5
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,5c895666-cd72-4761-b0a0-79ad6cb2bbd9,PathAnnotationObject,,Image,Polygon,38847.7,49853.9,59800399.7,34967.5
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,308be2e6-6332-4206-b7d0-9385b6f1e52d,PathAnnotationObject,,Image,Polygon,86799.5,58463.2,83731063.2,35192.1
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,446bf44d-60ac-42fe-9d3a-709c2e839ea7,PathAnnotationObject,,Image,Polygon,78674.1,62339.5,51047413.8,33871.4
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,611b8d4e-cf82-407b-ae6d-e7c5c5629319,PathAnnotationObject,,Image,Polygon,41688.4,14729.8,59607834,28787.1
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,4f583e12-59a5-4a9c-9d98-7104d4a28199,PathAnnotationObject,,Image,Polygon,76742.3,69930.9,49366840.5,31754.4
L-04-2 Cryo Exp 20 ms Gain 1 Satur 100.tif,b732629c-7e2c-4b99-8dd6-c386e98344bd,PathAnnotationObject,,Image,Polygon,1782,68653.9,20937142.3,24345.1
L-07 2 Cryo Exp 15 ms Gain 1 Satur 100 .tif,bf407cd4-d92e-47ab-9470-6372db7e6f75,PathAnnotationObject,,Image,Polygon,15592.4,38080.8,61200877.5,31065.6
L-07 2 Cryo Exp 15 ms Gain 1 Satur 100.tif,23d63555-9848-4864-8f1a-26e725613699,PathAnnotationObject,,Image,Polygon,59113.1,97541.6,41454141.3,26537.3
L-07 2 Cryo Exp 15 ms Gain 1 Satur 100.tif,2dc83084-fe54-48b8-aed9-7abc479d89c7,PathAnnotationObject,,Image,Polygon,99444.4,90588,26714113,21838.3
L-07 2 Cryo Exp 15 ms Gain 1 Satur 100.tif,e2aa1177-39b6-48ca-a836-2032fb96a251,PathAnnotationObject,,Image,Polygon,63694.7,75606.4,57874742.8,30290.6
L-07 2 Cryo Exp 15 ms Gain 1 Satur 100.tif,baf86be2-f82d-4bc8-8882-75faafbaf5c6,PathAnnotationObject,,Image,Polygon,98700.4,54174.8,38233042.4,28654.2
L-07 2 Cryo Exp 15 ms Gain 1 Satur 100.tif,ca672457-7add-46aa-9f20-ffc27338dc11,PathAnnotationObject,,Image,Polygon,46893.9,6841.9,52307843.8,29167.9
L-07 2 Cryo Exp 15 ms Gain 1 Satur 100.tif,e785810c-cb73-4d11-888b-12b738ac8a0f,PathAnnotationObject,,Image,Polygon,18262.2,23487,48211446.4,27750.7
L-07 2 Cryo Exp 15 ms Gain 1 Satur 100.tif,698ac505-9068-441c-9e0d-c173ad79508c,PathAnnotationObject,,Image,Polygon,31664.5,67171.3,52868034.9,31225.2
L-07 2 Cryo Exp 15 ms Gain 1 Satur 100.tif,e24d9333-4de3-4ac3-969c-a27d890b42e0,PathAnnotationObject,,Image,Polygon,105305.9,104275.2,29970223.7,24874.3
L-07 2 Cryo Exp 15 ms Gain 1 Satur 100.tif,cc053694-4ed0-4868-bd55-a73af876525d,PathAnnotationObject,,Image,Polygon,91279.6,97659.5,57489611.4,30370.3
L-07 2 Cryo Exp 15 ms Gain 1 Satur 100.tif,c52f37b7-4154-40f7-a4b2-76e77101c24e,PathAnnotationObject,,Image,Polygon,84188.7,11124.4,67433003.4,38634.6
L-07 2 Cryo Exp 15 ms Gain 1 Satur 100.tif,ab4327ac-3665-499e-bc68-b26cc6c07fd2,PathAnnotationObject,,Image,Polygon,95546.5,44989.6,55388894.8,32812.9
L-07 2 Cryo Exp 15 ms Gain 1 Satur 100.tif,74b94b41-6e04-4179-b542-54bf6452ed9f,PathAnnotationObject,,Image,Polygon,96328.4,63819.3,25068551.6,22228.1
L-07 2 Cryo Exp 15 ms Gain 1 Satur 100.tif,6d0eaf65-9d51-46ca-b47c-e31530b2c39f,PathAnnotationObject,,Image,Polygon,105410.9,19313.5,79897255.4,40020.1
L-07 2 Cryo Exp 15 ms Gain 1 Satur 100.tif,61c07e91-e850-427a-be30-115320ea907f,PathAnnotationObject,,Image,Polygon,59758.5,35637.4,52377867.7,35459.1
L-07 2 Cryo Exp 15 ms Gain 1 Satur 100.tif,005c1d9e-fe52-451f-9d16-8162dc68a090,PathAnnotationObject,,Image,Polygon,21633.4,15763.2,58539969.7,30680.4
L-07 2 Cryo Exp 15 ms Gain 1 Satur 100.tif,045990a2-3ef8-4bc7-a33d-477c5bc53d3a,PathAnnotationObject,,Image,Polygon,64686.5,28651.1,56299205.3,36517.6
L-07 2 Cryo Exp 15 ms Gain 1 Satur 100.tif,246b398e-a795-4e9e-8194-9797690d41da,PathAnnotationObject,,Image,Polygon,105964.6,50229.9,70303982.8,37046.8
L-07 2 Cryo Exp 15 ms Gain 1 Satur 100.tif,6933e96c-696b-43de-94e2-53854a0c36b2,PathAnnotationObject,,Image,Polygon,56498.1,9506.7,44885311.7,30696
L-07 2 Cryo Exp 15 ms Gain 1 Satur 100.tif,0cfc8a09-37a5-4c0a-9ffd-fcafa6dbfebb,PathAnnotationObject,,Image,Polygon,66975.5,93555.7,59555316.1,30525.4
L-07 2 Cryo Exp 15 ms Gain 1 Satur 100.tif,6797b774-00fb-4bbd-b1a9-9193633cb603,PathAnnotationObject,,Image,Polygon,46275.2,26280.5,88160074,47631.6
L-07 2 Cryo Exp 15 ms Gain 1 Satur 100.tif,ba29a21e-6069-450a-899f-5288e900c7b3,PathAnnotationObject,,Image,Polygon,21227.4,60683.9,78566801.5,39163.8
L-07 2 Cryo Exp 15 ms Gain 1 Satur 100.tif,b36a6f04-eec4-4960-bc72-577bebdf5ac9,PathAnnotationObject,,Image,Polygon,13792.4,75581.6,31790844.8,26900.5
L-07 2 Cryo Exp 15 ms Gain 1 Satur 100.tif,fe193b04-13af-4a5b-bda3-e7f70074fd45,PathAnnotationObject,,Image,Polygon,56009.3,2128.9,43554857.9,31754.4
L-07 2 Cryo Exp 15 ms Gain 1 Satur 100.tif,e10e3334-242a-47fe-a094-07e1141d7e75,PathAnnotationObject,,Image,Polygon,13919.4,68356.5,47721279.2,30669.4
L-07 2 Cryo Exp 15 ms Gain 1 Satur 100.tif,97d8037e-3da4-482b-98d4-b17ddfd3a8dc,PathAnnotationObject,,Image,Polygon,100640.8,69160.5,37707863.3,26216.2
L-07 2 Cryo Exp 15 ms Gain 1 Satur 100.tif,8af59406-745b-4575-8b01-604e3786e8bf,PathAnnotationObject,,Image,Polygon,91182,88110.5,79091980.6,35817.8
L-07 2 Cryo Exp 15 ms Gain 1 Satur 100.tif,8315e1aa-d2c2-4bec-aa23-853e5b751d21,PathAnnotationObject,,Image,Polygon,55850.5,84514.3,74400380.2,36256.2
L-07 2 Cryo Exp 15 ms Gain 1 Satur 100.tif,ffdf724f-52f7-479e-b605-8475a1b70005,PathAnnotationObject,,Image,Polygon,8156.4,84455.7,46775956.7,31882.8
L-07 2 Cryo Exp 15 ms Gain 1 Satur 100.tif,b8063bf6-3baf-4044-8aeb-25bd20fabd38,PathAnnotationObject,,Image,Polygon,98872.8,78932.3,51467557.1,31754.4
